job_title,job_category,experience_level,salary,salary_currency,salary_in_usd,company_location,employee_residence,work_setting,employment_type,company_size,work_year
Data Scientist,Data Science and Research,Intermediate,30400000,CLP,40038,Chile,Chile,Remote,Full-time,L,2021
BI Data Analyst,BI and Visualization,Intermediate,11000000,HUF,36259,United States,Hungary,Hybrid,Full-time,L,2021
Data Scientist,Data Science and Research,Intermediate,11000000,HUF,35735,Hungary,Hungary,Hybrid,Full-time,L,2020
ML Engineer,Machine Learning and AI,Intermediate,8500000,JPY,77364,Japan,Japan,Hybrid,Full-time,S,2021
Lead Machine Learning Engineer,Machine Learning and AI,Senior,7500000,INR,95386,India,India,Hybrid,Full-time,L,2022
ML Engineer,Machine Learning and AI,Intermediate,7000000,JPY,63711,Japan,Japan,Hybrid,Full-time,S,2021
Data Science Manager,Data Science and Research,Senior,7000000,INR,94665,India,India,Hybrid,Full-time,L,2021
Data Scientist,Data Science and Research,Junior,6600000,HUF,17684,Hungary,Hungary,Remote,Full-time,M,2022
Head of Machine Learning,Machine Learning and AI,Expert,6000000,INR,76309,India,India,Hybrid,Full-time,L,2022
Research Engineer,Data Science and Research,Junior,5500000,JPY,41809,Japan,Japan,Hybrid,Full-time,L,2022
Head of Data Science,Data Science and Research,Intermediate,5000000,INR,60805,India,India,Hybrid,Full-time,L,2023
AI Programmer,Machine Learning and AI,Junior,4950806,INR,60207,India,India,In-person,Full-time,S,2023
Machine Learning Engineer,Machine Learning and AI,Senior,4900000,INR,66265,India,India,In-person,Full-time,L,2021
Lead Data Scientist,Data Science and Research,Senior,4460000,INR,56723,India,India,In-person,Full-time,L,2022
Data Engineer,Data Engineering,Junior,4450000,JPY,41689,Japan,Japan,Remote,Full-time,S,2020
Data Scientist,Data Science and Research,Intermediate,4200000,INR,53416,Indonesia,India,Remote,Full-time,L,2022
Applied Machine Learning Scientist,Machine Learning and AI,Junior,4000000,INR,48644,Germany,India,Remote,Full-time,L,2023
Data Scientist,Data Science and Research,Senior,4000000,INR,54094,India,India,Remote,Full-time,L,2021
Data Science Manager,Data Science and Research,Senior,4000000,INR,54094,United States,India,Hybrid,Full-time,L,2021
Data Science Manager,Data Science and Research,Senior,3600000,INR,43779,India,India,Remote,Full-time,L,2023
Lead Data Analyst,Data Analysis,Intermediate,3300000,INR,39615,India,India,Hybrid,Full-time,L,2024
Data Science Manager,Data Science and Research,Intermediate,3200000,INR,38915,India,India,Hybrid,Full-time,L,2023
Data Analytics Manager,Leadership and Management,Intermediate,3200000,INR,38915,India,India,Hybrid,Full-time,M,2023
