property_id,state,city,price,area_sqft,bedrooms,bathrooms,lot_size_acres,year_built,rental_income,mainroad_access,airconditioning,garage_parking,school_rating,walkability_score,preferred_area,tax_rate,maintenance_cost
1,California,San Diego,2638547.0,667.0,,3.0,0.43,1955,12880.0,Yes,No,2.0,2.0,31.0,No,2.49,5711.0
2,Nevada,Henderson,1093731.0,965.0,4.0,4.0,3.24,1973,3857.0,Yes,Yes,0.0,6.0,10.0,Yes,2.58,6194.0
3,Texas,Dallas,849545.0,3218.0,5.0,2.0,4.59,1989,2901.0,No,No,1.0,3.0,79.0,Yes,0.55,6045.0
4,California,San Diego,1362633.0,2298.0,,4.0,3.83,2001,3589.0,Yes,No,0.0,,28.0,Yes,1.63,1001.0
5,Texas,Houston,950855.0,2612.0,4.0,2.0,2.93,2006,2342.0,Yes,No,3.0,3.0,20.0,No,0.67,2954.0
6,Arizona,Tucson,920073.0,2470.0,2.0,2.0,1.47,2018,4146.0,No,No,,3.0,38.0,Yes,0.7,5610.0
7,California,San Diego,1380429.0,4368.0,2.0,1.0,2.04,1995,3572.0,No,Yes,1.0,2.0,32.0,No,0.76,4594.0
8,Arizona,Scottsdale,,4592.0,5.0,3.0,0.19,2005,10045.0,No,No,0.0,2.0,6.0,Yes,2.0,3312.0
9,Georgia,Atlanta,1491201.0,3091.0,4.0,3.0,3.59,1998,6160.0,Yes,No,3.0,1.0,17.0,Yes,0.68,5579.0
10,Illinois,Chicago,702736.0,4761.0,,4.0,1.17,2004,,No,No,3.0,5.0,36.0,Yes,0.85,3418.0
11,Illinois,Chicago,1398147.0,3612.0,4.0,2.0,1.93,1950,3624.0,Yes,No,0.0,,84.0,No,2.84,4214.0
12,Arizona,Mesa,723588.0,3180.0,4.0,3.0,2.42,2011,1932.0,No,No,,3.0,,Yes,2.6,
13,California,Sacramento,560445.0,,,3.0,0.75,1962,1899.0,No,Yes,,3.0,,No,2.19,3211.0
14,California,San Francisco,3867715.0,3941.0,5.0,,4.08,1953,9976.0,No,No,2.0,8.0,13.0,Yes,1.32,5283.0
15,Nevada,Las Vegas,991553.0,664.0,2.0,3.0,2.49,2003,4436.0,Yes,Yes,,,18.0,No,,4374.0
16,Texas,Dallas,690417.0,3039.0,3.0,4.0,1.5,2016,2810.0,Yes,No,0.0,4.0,90.0,Yes,1.53,3738.0
17,Georgia,Columbus,345907.0,1917.0,4.0,,3.11,2019,1249.0,Yes,Yes,2.0,2.0,1.0,Yes,0.85,1156.0
18,Florida,Miami,2090377.0,1081.0,4.0,3.0,1.98,1977,4280.0,Yes,Yes,0.0,3.0,58.0,Yes,1.07,4027.0
19,Texas,Dallas,1111246.0,2270.0,4.0,2.0,4.29,2004,3137.0,Yes,Yes,2.0,8.0,45.0,Yes,1.21,3381.0
20,California,San Francisco,3439286.0,2449.0,5.0,4.0,1.15,1986,9851.0,Yes,No,2.0,3.0,34.0,Yes,2.9,5839.0
21,Illinois,Naperville,1441461.0,4795.0,,4.0,3.69,2008,3504.0,Yes,Yes,0.0,8.0,18.0,No,,6820.0
22,Georgia,Columbus,548042.0,4649.0,5.0,1.0,0.2,2009,1621.0,Yes,No,0.0,1.0,6.0,Yes,,5377.0
23,Arizona,Mesa,955048.0,3831.0,2.0,2.0,3.95,1992,2670.0,Yes,Yes,0.0,5.0,31.0,No,1.57,6172.0
24,Georgia,Savannah,718570.0,1119.0,3.0,4.0,0.12,1992,2703.0,Yes,Yes,3.0,5.0,17.0,Yes,2.93,6299.0
25,Florida,Orlando,981307.0,1434.0,5.0,1.0,2.91,1992,1972.0,No,No,3.0,8.0,43.0,Yes,2.38,4019.0
26,Arizona,Mesa,427151.0,3715.0,5.0,1.0,4.37,1979,1395.0,No,No,1.0,,72.0,No,1.64,2773.0
27,Georgia,Savannah,678367.0,2598.0,4.0,4.0,0.87,2011,2552.0,No,Yes,3.0,5.0,7.0,Yes,2.24,3097.0
28,Georgia,Augusta,499014.0,2305.0,4.0,3.0,4.96,1957,1825.0,Yes,No,1.0,9.0,94.0,Yes,0.72,3027.0
29,Florida,Miami,1630677.0,2903.0,3.0,1.0,4.12,2021,5157.0,Yes,No,2.0,8.0,87.0,No,2.71,4229.0
30,Illinois,Springfield,343204.0,1901.0,3.0,3.0,4.02,1968,1646.0,Yes,No,0.0,10.0,25.0,Yes,2.54,4614.0
31,Florida,Tampa,442816.0,1988.0,4.0,,2.42,2011,2040.0,No,No,3.0,8.0,33.0,No,2.37,4767.0
32,Nevada,Henderson,591326.0,740.0,3.0,1.0,4.96,1960,2126.0,Yes,Yes,2.0,6.0,46.0,No,0.66,2441.0
33,Georgia,Atlanta,1469337.0,2427.0,3.0,4.0,3.02,2013,3137.0,No,Yes,0.0,1.0,77.0,Yes,2.59,5228.0
34,Florida,Jacksonville,349644.0,3240.0,5.0,3.0,3.42,2014,1149.0,Yes,Yes,0.0,,84.0,Yes,0.99,6616.0
35,Texas,Houston,463442.0,2434.0,2.0,3.0,1.31,1991,1204.0,No,No,1.0,1.0,24.0,No,1.89,5663.0
36,California,Los Angeles,2545738.0,3629.0,,2.0,1.83,1960,7578.0,No,No,0.0,8.0,77.0,Yes,0.86,5508.0
37,California,San Francisco,5850437.0,810.0,2.0,,1.06,1976,16709.0,Yes,Yes,0.0,4.0,70.0,Yes,1.59,5507.0
38,Arizona,Tucson,,4080.0,4.0,2.0,1.76,1984,1189.0,Yes,No,3.0,5.0,8.0,Yes,0.56,2730.0
39,Florida,Miami,1723036.0,1618.0,1.0,4.0,3.52,2011,5955.0,No,No,3.0,6.0,4.0,Yes,1.72,2072.0
40,Illinois,Springfield,293543.0,2334.0,1.0,4.0,0.4,2011,866.0,No,No,1.0,4.0,,Yes,0.77,1890.0
41,Nevada,Carson City,354801.0,3762.0,,3.0,4.93,2019,1197.0,Yes,No,2.0,8.0,5.0,No,0.82,4016.0
42,Georgia,Augusta,507010.0,3292.0,5.0,4.0,4.64,2011,2407.0,Yes,Yes,2.0,9.0,21.0,No,1.53,5131.0
43,Arizona,Tucson,573907.0,1311.0,5.0,2.0,3.87,1984,2168.0,No,Yes,0.0,1.0,86.0,Yes,1.93,6571.0
44,Florida,Orlando,660116.0,1295.0,5.0,4.0,2.21,1967,1439.0,Yes,No,2.0,10.0,11.0,Yes,1.65,3393.0
45,Nevada,Carson City,,4794.0,4.0,3.0,2.36,2005,1865.0,Yes,Yes,2.0,4.0,86.0,No,2.4,5069.0
46,Illinois,Chicago,1078172.0,1864.0,4.0,1.0,3.45,1971,4707.0,No,No,3.0,4.0,67.0,Yes,1.06,6553.0
47,Nevada,Reno,1131793.0,1805.0,3.0,1.0,3.64,1958,2315.0,No,No,3.0,4.0,30.0,Yes,2.12,6825.0
48,Georgia,Atlanta,931805.0,4354.0,1.0,,2.26,2009,4132.0,No,Yes,1.0,3.0,,No,2.07,2272.0
49,Florida,Orlando,311653.0,3804.0,5.0,1.0,0.25,2005,1361.0,Yes,No,0.0,2.0,96.0,Yes,0.96,3769.0
50,Texas,San Antonio,,3229.0,4.0,2.0,0.48,1960,752.0,Yes,No,3.0,8.0,29.0,Yes,1.78,
51,New York,Albany,696522.0,942.0,3.0,3.0,2.44,1981,1967.0,Yes,Yes,1.0,4.0,47.0,No,1.38,4106.0
52,Texas,Dallas,723443.0,3573.0,3.0,2.0,0.99,2016,2944.0,No,Yes,3.0,,58.0,Yes,1.19,5323.0
53,California,Sacramento,1050752.0,3946.0,1.0,4.0,2.84,1997,4576.0,No,No,2.0,3.0,35.0,Yes,,3350.0
54,Florida,Orlando,494080.0,2721.0,3.0,2.0,4.84,2014,1766.0,No,Yes,1.0,3.0,,Yes,0.99,5324.0
55,Georgia,Atlanta,1460729.0,2102.0,1.0,1.0,3.45,1963,3881.0,Yes,Yes,1.0,10.0,74.0,No,1.01,2548.0
