property_id,state,city,price,area_sqft,bedrooms,bathrooms,lot_size_acres,year_built,rental_income,mainroad_access,airconditioning,garage_parking,school_rating,walkability_score,preferred_area,tax_rate,maintenance_cost
1,Florida,Jacksonville,406571,1337,3,4,1.25,1971,609.8565,Yes,Yes,1,3,57,No,0.5,3634
2,New York,Albany,437493,3305,5,3,1.22,1989,1093.7325,No,Yes,2,10,33,No,1.5,5992
3,California,San Francisco,1707564,3119,5,3,0.46,1981,5122.692,Yes,Yes,1,5,38,No,1.5,5636
4,Florida,Miami,1216300,3940,2,2,1.18,2022,1824.45,No,No,0,10,56,Yes,0.5,1766
5,Florida,Miami,985731,3172,5,3,0.88,1996,2464.3275,Yes,Yes,3,4,83,No,2.5,2066
6,New York,New York City,943274,624,1,1,1.01,1976,2829.822,Yes,Yes,3,3,30,Yes,0.5,1415
7,California,Los Angeles,1294166,1239,5,4,0.72,2003,1941.249,No,Yes,1,6,33,Yes,2.5,3872
8,California,San Francisco,1386125,2174,2,2,1.64,1990,3465.3125,Yes,Yes,1,3,85,No,2.5,3433
9,Florida,Orlando,522274,3828,4,4,0.79,1987,1566.8220000000001,Yes,No,1,4,40,Yes,2.5,5386
10,Texas,Austin,650362,3523,4,2,1.6,1979,975.543,No,No,2,6,68,Yes,2.5,5781
11,Florida,Orlando,711346,1808,1,3,0.25,2007,1778.365,No,Yes,2,3,22,No,1.5,2702
12,Florida,Miami,755672,773,4,3,0.63,2008,2267.016,No,No,3,10,86,No,0.5,1172
13,Florida,Jacksonville,365136,2017,5,3,0.87,2013,547.7040000000001,Yes,No,2,6,23,Yes,2.5,1934
14,Florida,Tampa,500468,785,2,3,0.87,1990,1251.17,Yes,Yes,3,2,73,No,1.5,2572
15,New York,Buffalo,391920,1904,1,2,0.94,1985,1175.76,No,Yes,3,10,22,No,2.5,3022
16,California,Sacramento,614560,1600,4,2,1.34,2020,921.84,Yes,Yes,2,4,61,Yes,1.5,5311
17,New York,Buffalo,260530,1918,5,1,1.19,1989,651.325,Yes,No,2,6,36,No,2.5,4967
18,New York,New York City,995346,1127,5,2,1.09,2019,2986.038,No,No,0,4,1,Yes,2.5,3984
19,New York,New York City,827122,3859,3,2,1.69,2015,1240.683,No,Yes,1,2,76,No,1.5,3028
20,Florida,Jacksonville,541525,3619,3,3,0.47,2016,1353.8125,Yes,No,0,5,96,Yes,2.5,4447
21,Texas,San Antonio,426507,1283,2,1,1.73,2009,1279.521,Yes,Yes,3,1,67,Yes,0.5,5657
22,California,Sacramento,767758,2833,1,4,1.64,1993,1151.637,Yes,Yes,3,9,25,No,1.5,1560
23,Texas,Houston,813888,2167,4,2,0.47,2016,2034.72,No,No,2,1,83,No,1.5,5617
24,New York,New York City,1825047,1174,4,4,1.29,1990,5475.1410000000005,Yes,Yes,0,7,69,No,2.5,2507
25,New York,Rochester,443050,2634,5,3,0.52,2013,664.575,Yes,Yes,1,10,93,Yes,1.5,3267
26,Texas,San Antonio,388160,2484,4,3,1.89,2000,970.4,Yes,No,2,5,63,No,1.5,4457
27,Texas,Dallas,789872,1924,2,4,1.04,2019,2369.616,No,No,2,3,81,No,1.5,4607
28,Texas,Austin,1037110,908,3,4,0.49,1979,1555.665,No,No,3,3,51,No,2.5,5359
29,New York,Rochester,431288,1812,5,1,1.31,1989,1078.22,Yes,Yes,1,1,22,No,0.5,2005
30,New York,Buffalo,367661,2441,1,2,1.44,1983,1102.983,Yes,No,3,6,57,No,1.5,1642
